Rep,Temp,LightFVFM
1,26,0.14925
1,27,0.1746
1,28,0.0986
1,29,0.137
1,30,0.097
1,31,0.0961
1,32,0.0782
1,33,0.0432
1,34,0.0097
1,35,0.0159
1,26,0.14925
1,25,0.1205
1,24,0.1218
1,23,0.1066
1,22,0.091
1,21,0.0947
1,20,0.0933
1,19,0.0992
1,18,0.0786
1,17,0.0534
2,26,0.18545
2,27,0.1799
2,28,0.0925
2,29,0.1492
2,30,0.1019
2,31,0.0976
2,32,0.0723
2,33,0.038
2,34,0.0142
2,35,0.0187
2,26,0.18545
2,25,0.1138
2,24,0.1226
2,23,0.0919
2,22,0.0681
2,21,0.0668
2,20,0.0676
2,19,0.0783
2,18,0.048
2,17,0.0456
3,26,0.1569
3,27,0.078
3,28,0.0411
3,29,0.083
3,30,0.068
3,31,0.069
3,32,0.0474
3,33,0.0425
3,34,0.0184
3,35,0.0171
3,26,0.1569
3,25,0.1267
3,24,0.1463
3,23,0.1097
3,22,0.1025
3,21,0.1001
3,20,0.1073
3,19,0.111
3,18,0.1052
3,17,0.0812